id,year,category,title,authors,venue_or_status,setting_or_data,intervention_or_focus,key_finding,limitation_for_our_question,role_in_ear,url
lewis2020,2020,Foundations,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","Patrick Lewis et al.",NeurIPS 2020,"Open-domain knowledge-intensive NLP","End-to-end retrieval plus generation","Retrieval improves several knowledge-intensive tasks and makes provenance inspectable.","Does not track how one answer changes as a fixed ranking grows.","Defines the RAG setting and terminology.",https://arxiv.org/abs/2005.11401
guu2020,2020,Foundations,"Retrieval Augmented Language Model Pre-Training","Kelvin Guu et al.",ICML 2020,"Wikipedia retrieval during language-model pretraining","Joint retrieval and representation learning","Latent retrieval during pretraining improves knowledge-intensive downstream performance.","Trained retriever-reader coupling differs from black-box in-context augmentation.","Contrasts learned retrieval with the present frozen-ranking setup.",https://proceedings.mlr.press/v119/guu20a.html
karpukhin2020,2020,Foundations,"Dense Passage Retrieval for Open-Domain Question Answering","Vladimir Karpukhin et al.",EMNLP 2020,"Open-domain QA benchmarks","Dense dual-encoder passage retrieval","Dense retrieval substantially improves top-k passage recall over a strong sparse baseline.","Retrieval recall does not reveal whether later passages reverse a correct generated answer.","Motivates treating ranked retrieval prefixes as an experimental object.",https://aclanthology.org/2020.emnlp-main.550/
izacard2021,2021,Foundations,"Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering","Gautier Izacard and Edouard Grave",EACL 2021,"Open-domain QA with many passages","Fusion-in-Decoder aggregation","A generator can benefit from combining many retrieved passages.","Average top-k gains can conceal question-level damage and recovery.","Provides the central counterpoint to reversal-focused analysis.",https://aclanthology.org/2021.eacl-main.74/
ram2023,2023,Foundations,"In-Context Retrieval-Augmented Language Models","Ori Ram et al.",TACL 2023,"Frozen language models with prepended documents","In-context retrieval augmentation","Unmodified LMs can use retrieved documents supplied directly in context.","Does not characterize adjacent correct-to-incorrect transitions.","Closest foundation for the black-box prompting design.",https://aclanthology.org/2023.tacl-1.75/
yang2018,2018,Foundations,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering","Zhilin Yang et al.",EMNLP 2018,"113k multi-hop questions with supporting facts","Explainable multi-hop QA benchmark","Supporting-fact labels allow evidence-sensitive multi-hop evaluation.","A 100-question distractor-dev slice cannot represent the full benchmark.","Supplies questions and ranked candidate paragraphs.",https://aclanthology.org/D18-1259/
liu2024,2024,Robustness,"Lost in the Middle: How Language Models Use Long Contexts","Nelson F. Liu et al.",TACL 2024,"Long-context retrieval and QA tasks","Evidence-position manipulation","Performance depends strongly on where relevant information appears in context.","Position effects are studied more directly than answer trajectories across nested prefixes.","Motivates fixed order and explicit order controls in follow-up work.",https://aclanthology.org/2024.tacl-1.9/
shi2023,2023,Robustness,"Large Language Models Can Be Easily Distracted by Irrelevant Context","Freda Shi et al.",ICML 2023,"Reasoning tasks with irrelevant context","Controlled distractor insertion","Irrelevant information can sharply reduce reasoning accuracy.","Synthetic distraction does not reproduce a real retriever's nested ranking.","Establishes that added context can cause genuine harm.",https://proceedings.mlr.press/v202/shi23a.html
yoran2024,2024,Robustness,"Making Retrieval-Augmented Language Models Robust to Irrelevant Context","Ori Yoran et al.",ICLR 2024,"Open-domain QA with irrelevant retrieved passages","Filtering and robustness training","Retrieval can reduce accuracy, while filtering and training improve robustness.","Does not center persistence, recovery, and retained beneficial repairs under fixed depth changes.","Required filtering comparison and close conceptual overlap.",https://openreview.net/forum?id=ZS4m74kZpH
cuconasu2024,2024,Robustness,"The Power of Noise: Redefining Retrieval for RAG Systems","Florin Cuconasu et al.",SIGIR 2024,"RAG with relevant and noisy passages","Passage relevance, count, and position","Noise, ranking, and context composition interact in non-monotonic ways.","The intervention is broader than matched adjacent trajectory accounting.","Motivates separating plausible distractors from generic noise.",https://arxiv.org/abs/2401.14887
